Sr No,Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
67,04-07-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"500,000.00",nan
65,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"1,000,000.00",nan
62,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"19,000,000.00",nan
63,02-07-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"2,500,000.00",nan
64,01-07-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"145,000.00",nan
66,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"38,080,000.00",nan
85,10-06-2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"430,200.00",nan
86,10-06-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"15,500,000.00",nan
88,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"3,584,000.00",nan
82,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"2,739,034.68",nan
83,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"26,000,000.00",nan
84,06-06-2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"15,109,500.00",nan
87,06-06-2020,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"52,000,000.00",nan
75,05-06-2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"51,000,000.00",nan
76,04-06-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"10,000,000.00",nan
79,04-06-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"75,000,000.00",nan
80,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"26,000,000.00",nan
89,04-06-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"3,400,000.00",nan
77,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"4,889,975.54",nan
78,03-06-2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"9,000,000.00",nan
81,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"2,500,000.00",nan
98,31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"5,600,000.00",nan
97,30-05-2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"11,500,000.00",nan
95,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"51,000,000.00",nan
96,28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"140,000,000.00",nan
90,06-05-2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed,nan
91,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"868,600.00",nan
92,05-05-2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed,nan
94,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"50,000,000.00",nan
93,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"150,000,000.00",nan
109,19-04-2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"3,000,000.00",nan
110,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000.00",nan
111,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"5,000,000.00",nan
112,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"3,000,000.00",nan
99,16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"45,000,000.00",nan
102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"3,591,375.00",nan
100,12-04-2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"17,000,000.00",nan
103,12-04-2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"200,000.00",nan
104,11-04-2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"3,500,000.00",nan
108,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"26,000,000.00",nan
101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"430,665.00",nan
105,10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"6,320,820.00",nan
106,10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"2,443,495.00",nan
107,10-04-2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,"307,000.00",nan
115,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"600,000.00",nan
114,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"226,000,000.00",nan
113,01-02-2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Undisclosed,nan
118,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"22,000,000.00",nan
119,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"5,000,000.00",nan
117,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"110,000,000.00",nan
